Sales,Discount,Profit,Order_ID,Product_ID
261.96,0,41.9136,CA-2019-152156,FUR-BO-10001798
731.94,0,219.5820,CA-2019-152156,FUR-CH-10000454
14.62,0,6.8714,CA-2019-138688,OFF-LA-10000240
957.578,0.45,-383.0310,US-2018-108966,FUR-TA-10000577
22.368,0.2,2.5164,US-2018-108966,OFF-ST-10000760
48.86,0,14.1694,CA-2017-115812,FUR-FU-10001487
7.28,0,1.9656,CA-2017-115812,OFF-AR-10002833
907.152,0.2,90.7152,CA-2017-115812,TEC-PH-10002275
18.504,0.2,5.7825,CA-2017-115812,OFF-BI-10003910
114.9,0,34.4700,CA-2017-115812,OFF-AP-10002892
1706.18,0.2,85.3092,CA-2017-115812,FUR-TA-10001539
911.424,0.2,68.3568,CA-2017-115812,TEC-PH-10002033
15.552,0.2,5.4432,CA-2020-114412,OFF-PA-10002365
407.976,0.2,132.5922,CA-2019-161389,OFF-BI-10003656
68.81,0.8,-123.8580,US-2018-118983,OFF-AP-10002311
2.544,0.8,-3.8160,US-2018-118983,OFF-BI-10000756
665.88,0,13.3176,CA-2017-105893,OFF-ST-10004186
55.5,0,9.9900,CA-2017-167164,OFF-ST-10000107
8.56,0,2.4824,CA-2017-143336,OFF-AR-10003056
213.48,0.2,16.0110,CA-2017-143336,TEC-PH-10001949
22.72,0.2,7.3840,CA-2017-143336,OFF-BI-10002215
19.46,0,5.0596,CA-2019-137330,OFF-AR-10000246
60.34,0,15.6884,CA-2019-137330,OFF-AP-10001492
71.372,0.3,-1.0196,US-2020-156909,FUR-CH-10002774
1044.63,0,240.2649,CA-2018-106320,FUR-TA-10000577
11.648,0.2,4.2224,CA-2019-121755,OFF-BI-10001634
90.57,0,11.7741,CA-2019-121755,TEC-AC-10003027
3083.43,0.5,-1665.0522,US-2018-150630,FUR-BO-10004834
9.618,0.7,-7.0532,US-2018-150630,OFF-BI-10000474
124.2,0.2,15.5250,US-2018-150630,FUR-FU-10004848
3.264,0.2,1.1016,US-2018-150630,OFF-EN-10001509
86.304,0.2,9.7092,US-2018-150630,OFF-AR-10004042
6.858,0.7,-5.7150,US-2018-150630,OFF-BI-10001525
15.76,0.2,3.5460,US-2018-150630,OFF-AR-10001683
29.472,0.2,9.9468,CA-2020-107727,OFF-PA-10000249
1097.54,0.2,123.4737,CA-2019-117590,TEC-PH-10004977
190.92,0.6,-147.9630,CA-2019-117590,FUR-FU-10003664
113.328,0.2,35.4150,CA-2018-117415,OFF-EN-10002986
532.399,0.32,-46.9764,CA-2018-117415,FUR-BO-10002545
212.058,0.3,-15.1470,CA-2018-117415,FUR-CH-10004218
371.168,0.2,41.7564,CA-2018-117415,TEC-PH-10000486
147.168,0.2,16.5564,CA-2020-120999,TEC-PH-10004093
